IFM,Union,Division,Industry,Day_Porter,Custodial,Cleanroom,GMP,Lab,MAC,Maintenance,Landscaping,Recycle,Other,Service_Days,Service_Model,SOW_Type,Trash_Freq,Vacuum_Freq,Restroom_Freq,SOW_Intensity_Range,Account_Size,Total_Supervision_Ratio,Labor_Cost_Score,CSAT,Turnover,Floor_Tech_FTE,CSR_FTE,Lead_FTE,Salary_EE_Count,Hourly_Burden,Mgmt_Burden,Total_Burden,Mobile,Price
1,1,7,1,1,1,0,1,0,0,0,0,1,0,5,1,2,2,5,2,2,3,12,4,4.5,0.315,1,2.3,0,1,0.42,0.48,0.43,0,0.114
5,0,5,3,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,11,2,4.75,0.954,0,2.6,0.9,0,0.23,0.23,0.23,0,0.166
1,1,1,5,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,6,4,0,0,0.5,0,0,0.73,0,0.73,0,0.131
1,0,1,6,0,1,0,0,0,0,0,0,0,0,5,1,2,4,2,1,1,3,5,3,4.5,0.675,0.8,0,1,2,0.3,0.29,0.29,0,0.135
4,0,5,7,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,4,3,4,0,0.2,1.1,1.4,1,0.1,0.11,0.1,0,0.104
4,1,2,11,1,1,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,3,5,6,4.75,0.069,0,4,1.5,0,0.48,0,0.48,0,0.139
4,1,2,6,1,1,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,3,6,9,4.25,0,0,0.8,1.4,0,0.74,0,0.74,0,0.157
1,0,13,1,1,1,0,0,0,0,0,0,0,0,5,1,1,3,1,3,2,3,3,2,3.8,0.371,0,2.9,2.8,1,0.22,0.22,0.22,0,0.112
5,0,13,3,1,1,1,1,0,0,0,0,0,0,5,0,0,0,0,0,0,2,10,2,4,0.656,4.6,0.2,0.3,1,0.28,0.28,0.28,0,0.22
1,1,2,2,1,1,0,0,0,0,0,0,0,0,5,2,2,4,2,2,2,2,18,7,4,0.13,0,1.4,0.4,0,0.67,0.16,0.63,0,0.13
3,0,7,10,1,1,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,2,9,4,4,0.107,0.5,1.5,1,0,0.38,0,0.38,0,0.154
4,0,9,4,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,7,2,4,0,0,2.3,1.1,0,0.13,0.14,0.13,0,0.106
1,0,6,2,0,1,0,0,0,0,0,0,0,0,6,1,2,4,1,2,2,2,5,1,4.25,0.152,0,0,2.4,1,0.3,0.3,0.3,0,0.17
3,1,3,10,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,4,3,4,1.217,0,0,1.5,1,0.29,0.29,0.29,0,0.108
4,1,2,1,1,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2,0,6,4.5,0.619,0.9,1.7,0,0,0.64,0.55,0.63,0,0.157
5,1,1,1,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,9,4,3.75,0.522,0.9,5.2,1.1,0,0.37,0.34,0.37,0,0.201
2,1,17,2,1,1,0,0,0,0,0,0,0,0,5,2,2,4,1,3,2,2,2,7,4.72,0,1,0.8,2.6,0,0.68,0,0.68,0,0.221
1,0,10,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,1,0,4,0,0,0,0,1,0.65,0,0.65,0,0.22
5,0,3,5,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,6,3,5,1.06,0,0,1.9,0,0.22,0,0.22,0,0.147
5,0,5,6,1,1,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,2,6,2,4.5,1.867,1,3.2,1.2,1,0.23,0.24,0.23,0,0.217
1,0,1,1,1,1,0,0,0,0,0,0,0,0,5,1,1,3,1,3,2,2,5,3,4.2,0,0,1.4,0,1,0.3,0.3,0.3,0,0.18
4,0,9,2,1,1,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,2,4,3,4.5,0.81,0,3.3,1,1,0.31,0.35,0.32,0,0.185
2,1,17,2,1,1,0,0,0,1,0,0,0,0,5,2,2,4,1,3,2,2,7,6,4.5,0.32,0,1.2,0,1,0.53,0.43,0.51,0,0.194
1,0,16,1,0,1,0,0,0,0,0,0,1,0,5,1,2,2,5,1,1,2,10,3,4.5,0.359,0,0,0,1,0.34,0.29,0.33,0,0.143
5,0,7,1,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,3,4,4,0.452,0,0,1.1,1,0.31,0.31,0.31,0,0.158
1,1,13,3,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,7,4,4,0.224,1,2.7,1.3,0,0.41,0,0.41,0,0.16
5,0,7,12,1,1,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,2,6,3,4.5,0,0.4,2,1.6,0,0.33,0,0.33,0,0.213
4,0,1,6,1,1,0,0,0,0,0,0,0,0,5,0,2,4,2,1,1,2,6,4,4.25,0,0,1.9,1.1,0,0.27,0,0.27,0,0.139
1,0,1,6,1,1,0,0,0,0,0,0,0,0,5,1,2,4,2,2,2,2,4,2,4.25,0.602,0,2.2,1.1,1,0.27,0.27,0.27,0,0.186
1,0,10,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0.11,0,0.11,0,0.215
4,1,9,2,1,1,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,2,3,2,4,1.113,0,1.2,1.5,1,0.22,0.21,0.22,0,0.131
5,0,5,12,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,6,3,5,0.155,0,0.9,0,1,0.26,0.27,0.26,0,0.15
5,0,5,2,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,5,3,4.5,0.75,1.5,0.8,1.7,0,0.26,0.28,0.26,0,0.138
2,0,14,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0.74,1.05,0.64,0,0.114
5,1,1,5,0,1,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,2,0,3,4.5,0.055,0,0,0,0,0.21,0,0.21,0,0.113
4,0,3,7,0,1,0,0,0,0,0,0,1,0,7,1,2,4,5,1,2,2,7,3,4.5,0.849,0,0,0.8,0,0.26,0.29,0.26,0,0.127
3,0,5,10,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,3,1,3.75,1.816,0.3,1.5,1.1,1,0.21,0.21,0.21,0,0.136
